Microstructure,Effective Diffusivity,Tortuosity,Surface Area,Volume Fraction Phase 1,Volume Fraction Phase 2
microstructure368.tif,0.4152,1.8422,0.0919,0.2351,0.7649
microstructure378.tif,0.3918,1.9773,0.1074,0.2252,0.7748
microstructure782.tif,0.3223,1.7827,0.0396,0.4255,0.5745
microstructure370.tif,0.0464,4.2417,0.0838,0.8031,0.1969
microstructure365.tif,0.1709,2.0907,0.0429,0.6427,0.3573
microstructure387.tif,0.208,2.8765,0.1266,0.4016,0.5984
microstructure360.tif,0.024,5.9349,0.0657,0.8575,0.1425
microstructure376.tif,0.1422,2.5106,0.1341,0.6431,0.3569
microstructure396.tif,0.6924,1.1616,0.0425,0.1958,0.8042
microstructure372.tif,0.0012,85.388,0.0855,0.9013,0.0987
microstructure406.tif,0.3071,1.7043,0.0908,0.4765,0.5235
microstructure066.tif,0.1644,2.1616,0.0919,0.6447,0.3553
microstructure072.tif,0.2527,2.4606,0.1444,0.3783,0.6217
microstructure784.tif,0.0751,5.1606,0.1768,0.6122,0.3878
microstructure393.tif,0.148,2.7249,0.0614,0.5966,0.4034
microstructure068.tif,0.2682,2.17,0.0898,0.418,0.582
microstructure381.tif,0.4692,1.7356,0.1085,0.1858,0.8142
